Sample,X,Y,Z
0,0.035,0.094,0.617
1,0.027,0.031,1.004
2,0.031,0.027,0.996
3,0.031,0.027,1.004
4,0.031,0.035,0.996
5,0.027,0.031,1.004
6,0.027,0.043,1.004
7,0.035,0.023,1.000
8,0.031,0.031,1.012
9,0.031,0.031,0.996
10,0.016,0.020,1.000
11,0.012,0.039,1.008
12,0.027,0.035,1.008
13,0.020,0.031,1.004
14,0.020,0.031,1.008
15,0.020,0.027,1.004
16,0.023,0.031,1.004
17,0.020,0.039,1.004
18,0.031,0.027,0.996
19,0.027,0.027,1.000
20,0.035,0.047,1.004
21,0.035,0.031,0.996
22,0.027,0.047,1.000
23,0.023,0.043,0.996
24,0.035,0.059,1.004
25,0.008,0.016,1.000
26,0.027,0.020,0.992
27,0.039,0.043,1.008
28,0.039,0.031,1.008
29,0.031,0.051,1.008
30,0.027,0.027,1.000
31,0.023,0.035,0.996
32,0.023,0.039,0.996
33,0.031,0.027,1.000
34,0.031,0.031,1.004
35,0.031,0.027,1.000
36,0.023,0.051,1.000
37,0.023,0.031,0.996
38,0.016,0.031,1.000
39,0.023,0.035,1.008
40,0.023,0.031,0.996
41,0.023,0.039,1.008
42,0.023,0.043,1.000
43,0.020,0.031,0.996
44,0.027,0.039,1.000
45,0.039,0.035,1.000
46,0.035,0.043,0.996
47,0.023,0.047,1.000
48,0.020,0.016,0.992
49,0.023,0.066,1.000
50,0.039,0.043,1.004
51,0.020,0.074,1.012
52,0.016,0.070,1.008
53,0.031,0.070,0.996
54,0.020,0.035,0.992
55,0.027,0.035,1.008
56,0.023,0.031,0.996
57,0.027,0.039,1.000
58,0.035,0.031,1.012
59,0.031,0.047,1.000
60,0.035,0.027,1.000
61,0.027,0.043,1.008
62,0.023,0.039,1.004
63,0.023,0.039,1.004
64,0.020,0.043,1.004
65,0.023,0.039,1.004
66,0.023,0.035,1.000
67,0.035,0.039,1.004
68,0.023,0.043,1.004
69,0.027,0.051,1.000
70,0.023,0.055,1.000
71,0.027,0.039,0.996
72,0.023,0.023,1.004
73,0.016,0.051,1.000
74,0.004,0.082,0.984
75,0.031,0.031,1.012
76,0.027,-0.004,1.000
77,0.000,0.062,1.008
78,0.023,0.051,1.012
79,0.031,0.039,1.008
80,0.023,0.039,1.000
81,0.031,0.039,1.004
82,0.027,0.039,1.000
83,0.020,0.043,1.008
84,0.027,0.039,1.004
85,0.027,0.020,0.996
86,0.027,0.039,1.004
87,0.023,0.043,1.000
88,0.020,0.035,0.992
89,0.020,0.047,0.996
90,-0.004,0.031,0.922
91,-0.016,0.105,0.805
92,0.184,-0.016,0.879
93,0.699,-0.223,0.977
94,1.465,-0.113,1.195
95,1.902,0.121,1.215
96,1.914,0.527,1.148
97,1.473,0.488,1.008
98,0.969,0.168,0.941
99,0.703,-0.258,0.965
100,0.625,-0.391,1.023
101,0.625,-0.242,1.055
102,0.539,0.133,1.043
103,0.355,0.301,0.996
