Sample,X,Y,Z
0,0.086,0.086,0.820
1,0.023,0.035,0.996
2,0.031,0.051,0.996
3,0.016,0.039,1.004
4,0.020,0.023,1.000
5,0.008,0.016,1.000
6,0.020,0.027,1.008
7,0.023,0.031,0.996
8,0.023,0.043,0.996
9,0.035,0.043,1.004
10,0.031,0.016,0.996
11,0.020,0.016,1.004
12,0.027,0.016,1.000
13,0.027,0.023,1.000
14,0.027,0.043,1.000
15,0.027,0.043,1.000
16,0.023,0.039,1.004
17,0.023,0.023,1.000
18,0.020,0.016,1.004
19,0.020,0.016,0.996
20,0.023,0.035,1.004
21,0.023,0.051,0.992
22,0.031,0.047,0.992
23,0.035,0.027,1.000
24,0.035,0.027,1.000
25,0.023,-0.008,1.012
26,0.035,0.008,1.004
27,0.020,0.082,0.996
28,0.020,0.016,1.000
29,0.047,0.074,1.016
30,0.027,0.020,0.996
31,0.020,0.020,1.004
32,0.012,0.023,1.000
33,0.027,0.031,1.000
34,0.035,0.035,1.000
35,0.039,0.043,1.000
36,0.031,0.020,0.996
37,0.031,0.031,1.008
38,0.023,0.020,1.004
39,0.027,0.035,1.000
40,0.035,0.039,1.000
41,0.039,0.043,1.004
42,0.031,0.039,1.000
43,0.016,0.039,1.000
44,0.008,0.023,0.996
45,0.020,0.027,1.012
46,0.027,0.039,0.996
47,0.035,0.055,1.004
48,0.031,0.047,1.008
49,0.031,0.027,1.000
50,0.043,0.031,1.012
51,0.027,0.043,0.996
52,0.023,0.027,1.000
53,0.023,0.023,1.008
54,0.027,0.043,1.004
55,0.023,0.031,1.000
56,0.020,0.012,1.012
57,0.023,0.012,1.008
58,0.023,0.020,1.000
59,0.035,0.051,0.992
60,0.035,0.043,0.996
61,0.031,0.020,0.996
62,0.027,0.023,1.004
63,0.023,0.020,1.000
64,0.035,0.031,1.004
65,0.035,0.055,0.992
66,0.031,0.059,0.996
67,0.027,0.047,1.000
68,0.020,0.027,1.004
69,0.016,0.020,1.008
70,0.020,0.043,1.004
71,0.023,0.047,0.996
72,0.047,0.078,1.000
73,0.027,0.066,0.992
74,0.020,0.055,0.996
75,0.027,0.008,1.008
76,0.016,0.043,1.008
77,0.051,0.055,0.992
78,0.035,0.047,1.000
79,0.027,0.031,1.008
80,0.023,0.016,0.992
81,0.027,0.023,1.008
82,0.020,0.012,1.004
83,0.020,0.027,1.008
84,0.039,0.043,0.996
85,0.035,0.039,1.000
86,0.027,0.027,0.996
87,0.027,0.020,1.004
88,0.020,0.020,1.004
89,0.043,0.020,1.008
90,0.121,-0.012,1.039
91,0.180,-0.121,1.078
92,0.113,-0.027,1.051
93,0.031,0.102,1.035
94,0.004,0.227,1.082
95,0.027,0.488,1.039
96,0.125,0.551,1.035
