Sample,X,Y,Z
0,0.000,0.047,0.711
1,0.020,0.020,1.008
2,0.012,0.008,1.008
3,0.023,0.031,1.004
4,0.031,0.043,1.000
5,0.031,0.059,0.996
6,0.035,0.039,0.996
7,0.020,0.016,1.004
8,0.020,0.000,1.000
9,0.016,0.012,1.012
10,0.020,0.035,1.000
11,0.035,0.055,0.996
12,0.043,0.035,1.004
13,0.016,0.027,1.012
14,0.004,0.004,1.000
15,0.016,0.012,1.008
16,0.027,0.035,1.000
17,0.035,0.055,0.996
18,0.043,0.059,1.008
19,0.031,0.039,1.000
20,0.023,0.020,1.008
21,0.020,0.016,1.008
22,0.027,0.039,0.996
23,0.031,0.051,0.996
24,0.023,0.020,1.016
25,0.035,0.070,0.984
26,0.004,0.047,1.004
27,0.027,0.043,1.008
28,0.035,-0.012,1.000
29,0.023,0.055,0.980
30,0.023,0.043,0.988
31,0.039,0.035,0.996
32,0.039,0.023,1.012
33,0.016,0.000,1.008
34,0.023,0.016,1.008
35,0.027,0.039,0.996
36,0.027,0.059,0.996
37,0.039,0.039,1.000
38,0.031,0.027,1.004
39,0.023,0.016,1.004
40,0.012,0.027,1.008
41,0.020,0.027,0.996
42,0.035,0.059,0.996
43,0.043,0.047,0.992
44,0.039,0.039,1.000
45,0.031,0.031,1.004
46,0.023,0.023,1.008
47,0.023,0.035,1.004
48,0.027,0.047,0.996
49,0.023,0.031,1.012
50,0.023,0.047,1.000
51,0.039,0.043,1.004
52,0.012,-0.008,1.016
53,0.012,-0.004,0.996
54,0.027,0.043,0.992
55,0.031,0.051,0.996
56,0.043,0.047,0.992
57,0.031,0.031,1.012
58,0.023,0.016,1.004
59,0.027,0.020,1.016
60,0.031,0.039,1.004
61,0.035,0.051,1.004
62,0.031,0.055,1.000
63,0.031,0.055,1.000
64,0.031,0.059,0.996
65,0.012,0.016,1.008
66,0.016,0.012,1.004
67,0.031,0.043,1.004
68,0.035,0.051,0.996
69,0.047,0.070,1.000
70,0.051,0.059,0.996
71,0.031,0.027,1.008
72,0.020,0.008,0.996
73,0.031,0.020,1.008
74,0.035,0.059,1.004
75,0.051,0.094,1.000
76,0.027,0.027,1.008
77,0.016,0.012,1.008
78,0.008,-0.020,0.996
79,0.012,0.016,1.008
80,0.023,0.043,0.992
81,0.027,0.062,0.992
82,0.035,0.039,1.004
83,0.027,0.043,1.004
84,0.016,0.016,1.004
85,0.031,0.016,1.008
86,0.023,0.043,0.992
87,0.035,0.070,1.004
88,0.035,0.055,1.004
89,0.039,0.059,0.996
90,0.023,0.039,1.016
91,0.020,0.023,1.004
92,0.020,0.035,0.996
93,0.031,0.055,0.996
94,0.043,0.059,1.004
95,0.047,0.047,0.992
96,0.047,0.066,1.016
97,0.047,-0.020,1.008
98,0.000,-0.004,0.992
99,-0.012,0.043,0.988
100,0.016,0.070,0.988
101,0.078,-0.043,1.023
102,0.145,-0.113,1.070
103,0.086,0.070,1.031
104,0.035,0.098,1.027
105,0.039,0.160,1.020
106,0.121,0.219,1.016
107,0.172,0.176,1.023
108,0.113,0.172,1.016
109,-0.012,0.176,0.984
110,-0.066,0.250,0.953
111,0.008,0.297,1.008
112,0.117,0.305,1.027
113,0.207,0.445,1.055
114,0.121,0.434,1.031
115,-0.008,0.543,1.027
116,-0.133,0.656,0.965
117,-0.172,0.609,1.012
118,-0.129,0.664,1.000
119,-0.070,0.770,0.984
120,-0.004,0.832,0.996
121,-0.012,0.844,0.961
122,-0.070,0.758,0.867
123,-0.109,0.602,0.883
124,-0.020,0.391,0.961
125,0.301,0.500,1.121
126,0.301,0.500,1.121
127,0.703,0.734,1.207
128,0.711,1.129,1.145
129,0.188,1.406,0.910
130,-0.531,1.070,0.773
131,-0.902,0.320,0.812
132,-0.742,0.012,0.910
133,-0.152,0.180,0.988
134,0.613,0.535,1.180
135,1.031,1.035,1.246
136,0.699,1.570,1.051
137,-0.082,1.332,0.766
138,-0.773,0.383,0.754
139,-0.961,-0.445,0.910
140,-0.324,-0.832,1.102
141,0.453,-0.090,1.285
142,0.562,1.324,0.973
143,0.285,1.773,0.844
144,-0.113,1.062,0.809
145,-0.047,-0.016,1.184
146,0.086,-0.789,1.141
147,0.238,-0.398,1.102
148,0.281,0.895,0.992
149,0.305,0.887,1.117
150,0.098,1.297,0.754
151,-0.273,0.844,0.742
152,-0.523,-0.758,1.078
153,-0.117,-0.578,1.406
154,0.320,0.219,1.129
155,0.566,0.785,1.105
156,0.281,1.406,0.953
157,-0.207,1.121,0.750
158,-0.336,0.484,0.953
159,-0.184,-0.219,1.066
160,0.195,-0.035,0.875
161,0.383,0.711,1.219
162,0.219,0.980,1.066
163,0.094,1.520,0.809
164,-0.219,1.043,0.961
165,-0.336,0.254,1.008
166,-0.023,0.082,1.090
167,0.121,0.367,1.156
168,0.250,0.945,0.980
169,0.250,1.207,1.012
170,-0.055,1.293,0.820
171,-0.156,0.637,1.145
172,-0.336,-0.219,0.953
173,-0.004,0.637,1.020
174,0.203,0.531,1.086
175,0.473,0.160,1.230
176,0.383,1.840,0.820
177,-0.273,0.828,0.781
178,-0.398,0.492,0.949
179,-0.289,0.918,0.824
180,0.070,-0.152,1.133
181,0.426,0.336,1.094
182,0.195,0.969,1.188
183,-0.238,0.594,0.801
184,-0.133,0.418,1.082
185,-0.172,0.086,0.891
186,0.160,-0.152,1.086
187,-0.020,0.309,0.918
188,-0.074,0.539,0.805
189,0.004,0.543,1.055
190,0.078,0.887,1.152
191,0.160,0.504,0.797
192,0.090,0.156,1.312
193,-0.254,0.102,0.848
194,0.141,-0.344,1.461
195,0.191,0.102,0.719
196,0.574,0.316,0.883
197,0.453,0.012,1.176
198,-0.059,0.199,0.723
199,-0.379,0.062,0.574
200,-0.336,-0.527,1.434
201,-0.031,-0.648,1.109
202,0.504,0.465,1.211
203,0.289,0.422,1.039
204,-0.262,-0.301,0.871
205,-0.152,-0.199,1.168
206,0.211,-0.605,1.004
207,0.691,-0.840,1.152
208,0.273,0.652,0.695
209,-0.371,0.984,0.797
210,-0.703,-0.297,0.973
211,-0.184,-0.387,1.457
212,-0.137,0.609,0.723
213,0.094,0.078,1.117
214,0.301,0.223,1.293
215,0.336,0.938,0.863
216,0.461,-0.082,0.789
217,0.551,-0.516,1.188
218,0.043,-0.250,0.691
219,-0.258,-0.418,0.996
220,-0.359,-0.348,0.824
221,-0.219,-0.145,1.219
222,-0.047,-0.242,1.203
223,0.254,0.617,1.145
224,0.309,0.391,1.027
225,0.324,0.027,1.348
226,0.023,0.438,0.824
227,-0.117,-0.074,0.551
228,-0.062,-0.617,0.918
229,-0.059,-0.098,1.125
230,-0.117,0.488,0.648
231,-0.133,0.652,0.980
232,-0.477,0.031,1.035
233,-0.254,0.379,0.930
234,0.379,0.344,1.414
235,0.402,-0.266,1.035
236,0.512,0.453,1.004
237,0.148,0.527,0.863
238,-0.074,-0.664,0.969
239,-0.043,-0.582,0.828
240,-0.027,-0.379,1.008
241,-0.008,-0.922,1.406
