Sample,X,Y,Z
0,0.113,0.137,0.738
1,0.023,0.035,1.004
2,0.027,0.035,1.000
3,0.023,0.031,1.004
4,0.023,0.031,1.000
5,0.023,0.031,1.004
6,0.023,0.035,1.004
7,0.031,0.035,1.016
8,0.023,0.035,1.004
9,0.020,0.035,1.004
10,0.016,0.035,1.008
11,0.023,0.035,0.996
12,0.023,0.039,1.004
13,0.020,0.031,1.004
14,0.031,0.039,0.992
15,0.020,0.035,1.000
16,0.023,0.043,1.004
17,0.027,0.031,0.996
18,0.035,0.039,1.004
19,0.027,0.039,1.004
20,0.027,0.023,0.996
21,0.027,0.035,1.000
22,0.023,0.043,1.000
23,0.020,0.039,1.000
24,0.031,0.109,0.996
25,0.055,0.062,1.008
26,0.020,0.012,1.004
27,0.008,0.016,0.988
28,0.031,0.016,1.004
29,0.031,0.023,0.996
30,0.023,0.043,1.008
31,0.023,0.035,1.000
32,0.031,0.039,1.008
33,0.027,0.043,1.004
34,0.020,0.035,1.004
35,0.020,0.051,1.000
36,0.016,0.047,1.004
37,0.031,0.035,1.004
38,0.027,0.035,1.008
39,0.035,0.035,0.996
40,0.027,0.039,1.000
41,0.027,0.043,1.008
42,0.016,0.031,1.004
43,0.027,0.031,1.004
44,0.031,0.039,1.008
45,0.027,0.027,0.996
46,0.027,0.039,1.008
47,0.023,0.035,1.000
48,0.035,0.066,0.996
49,0.023,0.051,1.004
50,0.020,-0.020,0.996
51,0.043,0.047,1.004
52,0.062,0.059,1.000
53,0.027,0.004,0.980
54,0.027,0.051,1.004
55,0.035,0.035,0.996
56,0.023,0.043,0.996
57,0.027,0.047,1.004
58,0.027,0.047,0.996
59,0.016,0.039,1.004
60,0.016,0.043,1.008
61,0.023,0.027,0.996
62,0.023,0.051,0.996
63,0.020,0.039,1.012
64,0.031,0.035,0.996
65,0.035,0.031,1.004
66,0.027,0.031,1.000
67,0.023,0.035,0.996
68,0.027,0.035,1.004
69,0.031,0.035,1.004
70,0.031,0.035,1.004
71,0.027,0.035,1.008
72,0.008,0.020,1.000
73,0.043,0.043,1.012
74,0.027,0.043,1.016
75,0.027,0.020,1.004
76,0.027,0.031,1.012
77,0.066,0.023,0.996
78,0.031,0.027,1.000
79,0.027,0.039,1.000
80,0.027,0.043,0.996
81,0.023,0.039,0.996
82,0.027,0.027,1.004
83,0.027,0.035,1.004
84,0.031,0.047,1.000
85,0.023,0.039,0.996
86,0.012,0.039,0.996
87,0.016,0.035,0.996
88,0.031,0.031,1.008
89,0.035,0.035,0.996
90,0.035,0.043,1.008
91,0.031,0.043,0.996
92,0.027,0.023,0.996
93,0.027,0.039,1.004
94,0.031,0.027,1.004
95,0.016,0.023,0.953
96,-0.027,0.062,0.891
97,0.031,0.020,0.840
98,0.391,-0.188,0.977
99,0.934,-0.133,1.102
100,1.309,0.086,1.184
101,1.320,0.277,1.195
102,0.918,0.359,0.992
103,0.504,0.145,0.910
104,0.293,-0.219,0.914
105,0.375,-0.254,0.930
106,0.598,-0.062,1.051
107,0.652,0.000,1.094
108,0.617,0.293,1.023
109,0.488,0.258,0.988
110,0.355,0.008,1.012
111,0.273,-0.090,1.027
112,0.191,-0.180,1.043
113,0.098,-0.055,1.004
114,-0.023,-0.059,0.938
115,-0.023,-0.082,0.988
116,0.250,-0.137,1.004
117,0.711,-0.109,1.016
118,1.031,0.418,1.023
119,0.918,0.625,0.996
120,0.633,0.305,0.934
121,0.379,-0.066,0.895
122,0.191,-0.422,0.906
123,0.402,-0.344,1.023
124,1.004,-0.207,1.152
125,1.391,0.367,1.219
126,1.281,0.547,1.012
127,0.586,0.656,0.801
128,-0.129,0.230,0.738
129,-0.062,-0.777,1.066
130,0.488,-1.016,1.352
131,0.824,0.039,0.969
132,0.840,0.902,1.066
133,0.184,0.480,0.824
134,0.043,0.344,0.949
135,0.188,-0.703,1.090
136,0.320,-0.961,1.105
137,0.461,0.023,1.023
138,0.535,-0.062,1.215
139,0.656,0.504,0.801
140,0.605,1.184,0.734
141,0.418,-0.281,0.980
142,0.590,-0.551,1.133
143,0.766,-0.223,1.074
144,0.879,-0.109,1.098
145,0.898,0.422,0.949
146,0.723,0.727,0.820
